class,occurence,timestamp,id,location.lon,location.lat,location.city,location.country,location.countrycode,useragent,pageViews,application,journeys.interactions.register.0,journeys.interactions.register.1,journeys.interactions.register.2,journeys.interactions.home.0,journeys.interactions.onlinehelp.0,journeys.resources.matchkey,journeys.resources.file,journeys.metrics.home,journeys.metrics.onlinehelp,resource.interaction,resource.info.event,resource.info.channel,resource.info.application,resource.info.pagename,resource.info.href,resource.info.section,resource.info.category,resource.info.device,resource.values.web_pageViews,context.global.key,context.global.name,context.global.value,identities.ecid,identities.email,identities.mobile,identities.crmid
timeseries,always,1629879970247,0,3.5567339,50.5474037,Péruwelz,Belgium,BE,"Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.724.100 Safari/534.30",1,luma watch web,home,login,register,home,onlinehelp,event,./luma-pages-s2-web.csv,web_pageViews,web_pageViews,home,home,web,luma web tv,web.home,https://builder.adobedemo.com/run/luma/pos/tv/nl,home,home,browser,1,4,d,d1,16938293776293711911207201616268829056,nakiwvej-0@aepdemo.com,+51679013215,+920610
timeseries,always,1629879982529,4,3.5567339,50.5474037,Péruwelz,Belgium,BE,"Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.724.100 Safari/534.30",1,luma watch web,home,login,register,home,onlinehelp,event,./luma-pages-s2-web.csv,web_pageViews,web_pageViews,onlinehelp,onlinehelp,web,luma web tv,web.onlinehelp,https://builder.adobedemo.com/run/luma/login/nl/,onlinehelp,onlinehelp,browser,1,3,c,c1,16938293776293711911207201616268829056,nakiwvej-0@aepdemo.com,+51679013215,+920610
timeseries,always,1629880252770,5,4.1638985,50.0109884,Momignies,Belgium,BE,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_3) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.66 Safari/535.11",1,luma watch web,home,login,register,home,onlinehelp,event,./luma-pages-s2-web.csv,web_pageViews,web_pageViews,home,home,web,luma web tv,web.home,https://builder.adobedemo.com/run/luma/pos/tv/nl,home,home,browser,1,1,a,a1,48060868521255396294222732717711101797,bijonede-2@aepdemo.com,+06227915076,+897388
timeseries,always,1629879950697,6,3.989666,50.4271996,Mons,Belgium,BE,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36",1,luma watch web,home,login,register,home,onlinehelp,event,./luma-pages-s2-web.csv,web_pageViews,web_pageViews,home,home,web,luma web tv,web.home,https://builder.adobedemo.com/run/luma/pos/tv/nl,home,home,browser,1,2,b,b1,76842193511328805581626783736261906563,uga-3@aepdemo.com,+85168416915,+679808
timeseries,always,1629880026811,10,3.989666,50.4271996,Mons,Belgium,BE,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36",1,luma watch web,home,login,register,home,onlinehelp,event,./luma-pages-s2-web.csv,web_pageViews,web_pageViews,onlinehelp,onlinehelp,web,luma web tv,web.onlinehelp,https://builder.adobedemo.com/run/luma/login/nl/,onlinehelp,onlinehelp,browser,1,1,a,a1,76842193511328805581626783736261906563,uga-3@aepdemo.com,+85168416915,+679808
timeseries,always,1629880053051,6,3.4387783,50.59219,Tournai,Belgium,BE,"Mozilla/5.0 (Windows NT 6.1; rv:15.0) Gecko/20120716 Firefox/15.0a2",1,luma watch web,home,login,register,home,onlinehelp,event,./luma-pages-s2-web.csv,web_pageViews,web_pageViews,home,home,web,luma web tv,web.home,https://builder.adobedemo.com/run/luma/pos/tv/nl,home,home,browser,1,1,a,a1,84795762374239330223832058931440232078,totmop-4@aepdemo.com,+93596921161,+535349
timeseries,always,1629880113750,2,3.4387783,50.59219,Tournai,Belgium,BE,"Mozilla/5.0 (Windows NT 6.1; rv:15.0) Gecko/20120716 Firefox/15.0a2",1,luma watch web,home,login,register,home,onlinehelp,event,./luma-pages-s2-web.csv,web_pageViews,web_pageViews,onlinehelp,onlinehelp,web,luma web tv,web.onlinehelp,https://builder.adobedemo.com/run/luma/login/nl/,onlinehelp,onlinehelp,browser,1,2,b,b1,84795762374239330223832058931440232078,totmop-4@aepdemo.com,+93596921161,+535349
timeseries,always,1629879947967,9,3.4387783,50.59219,Tournai,Belgium,BE,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.517 Safari/537.36",1,luma watch web,home,login,register,home,onlinehelp,event,./luma-pages-s2-web.csv,web_pageViews,web_pageViews,home,home,web,luma web tv,web.home,https://builder.adobedemo.com/run/luma/pos/tv/nl,home,home,browser,1,1,a,a1,52125873550972152762914937959125538237,co-14@aepdemo.com,+74482266154,+156707
timeseries,always,1629879955050,6,3.4387783,50.59219,Tournai,Belgium,BE,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.517 Safari/537.36",1,luma watch web,home,login,register,home,onlinehelp,event,./luma-pages-s2-web.csv,web_pageViews,web_pageViews,onlinehelp,onlinehelp,web,luma web tv,web.onlinehelp,https://builder.adobedemo.com/run/luma/login/nl/,onlinehelp,onlinehelp,browser,1,2,b,b1,52125873550972152762914937959125538237,co-14@aepdemo.com,+74482266154,+156707
timeseries,always,1629880113146,12,3.4387783,50.59219,Tournai,Belgium,BE,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1623.0 Safari/537.36",1,luma watch web,home,login,register,home,onlinehelp,event,./luma-pages-s2-web.csv,web_pageViews,web_pageViews,home,home,web,luma web tv,web.home,https://builder.adobedemo.com/run/luma/pos/tv/nl,home,home,browser,1,1,a,a1,13708929230158065541172702642225509655,jeipo-22@aepdemo.com,+29194834369,+397088
